Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","220uF","CP_Elec_10x10",-35.290000,-17.540000,90,top
"C2","470uF","CP_Elec_10x10",-9.200000,-7.100000,270,top
"C3","220uF","CP_Elec_10x10",-21.700000,-7.000000,270,top
"C4","220uF","CP_Elec_10x10",-47.950000,-17.590000,90,top
"D1","D_SS52","SS34",-24.350000,-26.000000,0,top
"L1","47uH","L_14x13mm_H6mm",-11.650000,-23.200000,0.000000,top
"PS1","TD1509P5","PowerIntegrations_SO-8",-24.510000,-18.800000,180,top
